node_id,similar_node_id,neighbor_rank,feature_distance,feature_similarity,shared_complete_business_count,median_cost_smape_on_shared_business,median_revenue_smape_on_shared_business
ant2d4c9ea615dbf3e31b3ec8f8b4a0a,ant265ffbb032a5933e8b456d55c9e05,9,0.07226955890655518,0.9277304410934448,0,,
ant255c6485599733632b49990076502,ant20aa7ad49a7663d92849683889200,8,0.07227003574371338,0.9277299642562866,0,,
ant17639653718e0211f95eaf10fd90a,anta780986180c48874e2a54d1696900,1,0.07227033376693726,0.9277296662330627,1,0.7789473684210527,0.452316076294278
ant2ef64b53ba21a32878703bab91901,ant2a54b966144353eaeabcc889b1205,10,0.07227033376693726,0.9277296662330627,1,1.9047619047619047,1.3563218390804597
ant208a23ee605443b0189b7cc004102,ant2a4a019b1f7cf368ca943210b0a0b,7,0.0722704529762268,0.9277295470237732,2,0.49287452207160243,0.46682540887185525
ant2612986029206334da2aa241d4506,ant21c4ad10ea30d3db7b43532707804,10,0.0722704529762268,0.9277295470237732,2,1.731723726746126,1.6925064599483202
ant213916389e70636c79da500b36300,ant2dff7fa41cf0730b5b98a2bba9e0b,6,0.07227098941802979,0.9277290105819702,0,,
ant2283ae4e214f1390baf85a71f7f00,ant20a7000dd09973154b82e1e7b3b03,9,0.07227122783660889,0.9277287721633911,0,,
ant2ea48fb8aa5583e9885f9f828f30b,ant220d7169bf1f83f6893f525676e0a,5,0.07227152585983276,0.9277284741401672,3,0.5151515151515151,0.5620915032679737
ant2d736e07010803f429a1385473302,ant252a2d3f0c877350cbf16a7f6b40a,8,0.07227182388305664,0.9277281761169434,2,1.7489703923778301,1.7533211206620463
ant15ce53d7d100392f886a526338204,ant2592efe0109840c9908434967da01,3,0.07227194309234619,0.9277280569076538,0,,
ant2acf6e2b848b23ba18e14f4c6a10c,ant2dcf144cfb458392c8abad75d3107,10,0.07227206230163574,0.9277279376983643,0,,
ant18fe8a9190d6171df018ce8018f00,ant2691978fcb6a728ae700b5297dc0a,3,0.0722724199295044,0.9277275800704956,0,,
ant2e253f59266e63dc58d054150da0b,ant2ba1bed405b2137868f21725e3303,5,0.0722724199295044,0.9277275800704956,0,,
